timestamp,message
1685834342659,"START RequestId: acd26d3d-2953-4ea6-895d-15edffa7757a Version: $LATEST
"
1685834342659,"{""version""=>""2.0"", ""routeKey""=>""OPTIONS /{proxy+}"", ""rawPath""=>""/avatars/key_upload"", ""rawQueryString""=>"""", ""headers""=>{""accept""=>""*/*"", ""accept-encoding""=>""gzip, deflate, br"", ""accept-language""=>""fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7"", ""access-control-request-headers""=>""authorization,content-type"", ""access-control-request-method""=>""POST"", ""cache-control""=>""no-cache"", ""content-length""=>""0"", ""host""=>""3ni93y5bnb.execute-api.ca-central-1.amazonaws.com"", ""origin""=>""https://3000-yaya2devops-awscloudpro-w9anzhzrrc1.ws-eu98.gitpod.io"", ""pragma""=>""no-cache"", ""referer""=>""https://3000-yaya2devops-awscloudpro-w9anzhzrrc1.ws-eu98.gitpod.io/"", ""sec-fetch-dest""=>""empty"", ""sec-fetch-mode""=>""cors"", ""sec-fetch-site""=>""cross-site"", ""user-agent""=>""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"", ""x-amzn-trace-id""=>""Root=1-647bca66-7428034174e0271a3e28a1fe"", ""x-forwarded-for""=>""41.62.176.207"", ""x-forwarded-port""=>""443"", ""x-forwarded-proto""=>""https""}, ""requestContext""=>{""accountId""=>""598485450821"", ""apiId""=>""3ni93y5bnb"", ""domainName""=>""3ni93y5bnb.execute-api.ca-central-1.amazonaws.com"", ""domainPrefix""=>""3ni93y5bnb"", ""http""=>{""method""=>""OPTIONS"", ""path""=>""/avatars/key_upload"", ""protocol""=>""HTTP/1.1"", ""sourceIp""=>""41.62.176.207"", ""userAgent""=>""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36""}, ""requestId""=>""F9yQFixBYosEJmA="", ""routeKey""=>""OPTIONS /{proxy+}"", ""stage""=>""$default"", ""time""=>""03/Jun/2023:23:19:02 +0000"", ""timeEpoch""=>1685834342623}, ""pathParameters""=>{""proxy""=>""avatars/key_upload""}, ""isBase64Encoded""=>false}
"
1685834342660,"{""step"":""preflight"",""message"":""preflight CORS check""}
"
1685834342699,"END RequestId: acd26d3d-2953-4ea6-895d-15edffa7757a
"
1685834342699,"REPORT RequestId: acd26d3d-2953-4ea6-895d-15edffa7757a	Duration: 40.33 ms	Billed Duration: 41 ms	Memory Size: 128 MB	Max Memory Used: 38 MB	
"
1685834342838,"START RequestId: 167e507e-de29-407d-bc07-b93e9c3d7400 Version: $LATEST
"
1685834342839,"{""version""=>""2.0"", ""routeKey""=>""POST /avatars/key_upload"", ""rawPath""=>""/avatars/key_upload"", ""rawQueryString""=>"""", ""headers""=>{""accept""=>""application/json"", ""accept-encoding""=>""gzip, deflate, br"", ""accept-language""=>""fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7"", ""authorization""=>""Bearer eyJraWQiOiJyVmtPWThJeW9CUVwvSU4ySnJncitieFFqY0tMT3lOaHlYcG1SMktydDNHbz0iLCJhbGciOiJSUzI1NiJ9.eyJzdWIiOiJlZjFkZTUyNS0xYjljLTRlNGItYjE0My1hMDcxZWQ1YTQzYjkiLCJpc3MiOiJodHRwczpcL1wvY29nbml0by1pZHAuY2EtY2VudHJhbC0xLmFtYXpvbmF3cy5jb21cL2NhLWNlbnRyYWwtMV9SVDZ1WjZJa1YiLCJjbGllbnRfaWQiOiI1aWwzMTE2cW0wcmgzcm9wc3BuaXJrdG5scyIsIm9yaWdpbl9qdGkiOiI1ZjkyN2M5Mi0yMTcyLTQ1MTktODZmMS04ZWI1YjkxMDA3OTIiLCJldmVudF9pZCI6ImZlMTFiYTk2LWI4ZDEtNDk4My05YWJjLTU1YTMxODk4MWE2ZiIsInRva2VuX3VzZSI6ImFjY2VzcyIsInNjb3BlIjoiYXdzLmNvZ25pdG8uc2lnbmluLnVzZXIuYWRtaW4iLCJhdXRoX3RpbWUiOjE2ODU4Mjc5OTgsImV4cCI6MTY4NTgzNTU3NCwiaWF0IjoxNjg1ODMxOTc0LCJqdGkiOiI0NjA1YTM4NC1mYjNkLTRmMDktOGQ5NS02ZTQ0YWM1OTdhNWMiLCJ1c2VybmFtZSI6ImVmMWRlNTI1LTFiOWMtNGU0Yi1iMTQzLWEwNzFlZDVhNDNiOSJ9.cROwm8Trvr94urEhiG1kypsQTPPMpobm5UrKQUb_ivU8_2dT35M-VpYrwzftzhtkCIg2LD-JjdQk0t2ihFM5NLc_Hb_4vaBMw2PFFPwu3ls4apNpZQ1wCelkKGvC3F2QRoiJghDlkPEgoYx2DgCsOJ06gI34Q8J12L1L_deoys6XtpR3yAPqeK5LB4iC7WATKlr04I2Wf4l6ZiHNZRFJ2xXBuRomp69JvSYPMhyzCk19xlFQJJesnYu1bhW8IfPj32NZJXR3lH5Zyb4UWATJm7lf0A5-MRRzyGq5Is5vdGAtE2w4Oo4CE10gTyXqR3hYC3NF2NF-QenKEB6krTHvNQ"", ""cache-control""=>""no-cache"", ""content-length""=>""19"", ""content-type""=>""application/json"", ""host""=>""3ni93y5bnb.execute-api.ca-central-1.amazonaws.com"", ""origin""=>""https://3000-yaya2devops-awscloudpro-w9anzhzrrc1.ws-eu98.gitpod.io"", ""pragma""=>""no-cache"", ""referer""=>""https://3000-yaya2devops-awscloudpro-w9anzhzrrc1.ws-eu98.gitpod.io/"", ""sec-ch-ua""=>""\""Google Chrome\"";v=\""113\"", \""Chromium\"";v=\""113\"", \""Not-A.Brand\"";v=\""24\"""", ""sec-ch-ua-mobile""=>""?0"", ""sec-ch-ua-platform""=>""\""Windows\"""", ""sec-fetch-dest""=>""empty"", ""sec-fetch-mode""=>""cors"", ""sec-fetch-site""=>""cross-site"", ""user-agent""=>""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"", ""x-amzn-trace-id""=>""Root=1-647bca66-6c6f63f52b09f32e460cf5c6"", ""x-forwarded-for""=>""41.62.176.207"", ""x-forwarded-port""=>""443"", ""x-forwarded-proto""=>""https""}, ""requestContext""=>{""accountId""=>""598485450821"", ""apiId""=>""3ni93y5bnb"", ""authorizer""=>{""lambda""=>nil}, ""domainName""=>""3ni93y5bnb.execute-api.ca-central-1.amazonaws.com"", ""domainPrefix""=>""3ni93y5bnb"", ""http""=>{""method""=>""POST"", ""path""=>""/avatars/key_upload"", ""protocol""=>""HTTP/1.1"", ""sourceIp""=>""41.62.176.207"", ""userAgent""=>""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36""}, ""requestId""=>""F9yQHiP_YosEJew="", ""routeKey""=>""POST /avatars/key_upload"", ""stage""=>""$default"", ""time""=>""03/Jun/2023:23:19:02 +0000"", ""timeEpoch""=>1685834342801}, ""body""=>""{\""extension\"":\""png\""}"", ""isBase64Encoded""=>false}
"
1685834342840,"Critical exception from handler
"
1685834342840,"{
  ""errorMessage"": ""undefined method `[]' for nil:NilClass"",
  ""errorType"": ""Function<NoMethodError>"",
  ""stackTrace"": [
    ""/var/task/function.rb:26:in `handler'""
  ]
}
"
1685834342959,"Unknown application error occurred
Runtime.Unknown
"
