timestamp,message
1685571130408,"INIT_START Runtime Version: ruby:2.7.v20	Runtime Version ARN: arn:aws:lambda:ca-central-1::runtime:7882428ae91071debb521f4c894de6f32edb4d0b6dd43c9c5044d89e4dcd3c3e
"
1685571131132,"START RequestId: e39db679-eaa7-4936-b2e7-02fca026cf42 Version: $LATEST
"
1685571131132,"{""version""=>""2.0"", ""routeKey""=>""OPTIONS /{proxy+}"", ""rawPath""=>""/avatars/key_upload"", ""rawQueryString""=>"""", ""headers""=>{""accept""=>""*/*"", ""accept-encoding""=>""gzip, deflate, br"", ""accept-language""=>""fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7"", ""access-control-request-headers""=>""authorization,content-type"", ""access-control-request-method""=>""POST"", ""cache-control""=>""no-cache"", ""content-length""=>""0"", ""host""=>""3ni93y5bnb.execute-api.ca-central-1.amazonaws.com"", ""origin""=>""https://3000-yaya2devops-awscloudpro-9ykv0vijsv2.ws-eu98.gitpod.io"", ""pragma""=>""no-cache"", ""referer""=>""https://3000-yaya2devops-awscloudpro-9ykv0vijsv2.ws-eu98.gitpod.io/"", ""sec-fetch-dest""=>""empty"", ""sec-fetch-mode""=>""cors"", ""sec-fetch-site""=>""cross-site"", ""user-agent""=>""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"", ""x-amzn-trace-id""=>""Root=1-6477c63a-3b3f6b2e04b4aca8174907d1"", ""x-forwarded-for""=>""197.26.172.238"", ""x-forwarded-port""=>""443"", ""x-forwarded-proto""=>""https""}, ""requestContext""=>{""accountId""=>""598485450821"", ""apiId""=>""3ni93y5bnb"", ""domainName""=>""3ni93y5bnb.execute-api.ca-central-1.amazonaws.com"", ""domainPrefix""=>""3ni93y5bnb"", ""http""=>{""method""=>""OPTIONS"", ""path""=>""/avatars/key_upload"", ""protocol""=>""HTTP/1.1"", ""sourceIp""=>""197.26.172.238"", ""userAgent""=>""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36""}, ""requestId""=>""FzvpIhtzYosEJug="", ""routeKey""=>""OPTIONS /{proxy+}"", ""stage""=>""$default"", ""time""=>""31/May/2023:22:12:10 +0000"", ""timeEpoch""=>1685571130138}, ""pathParameters""=>{""proxy""=>""avatars/key_upload""}, ""isBase64Encoded""=>false}
"
1685571131132,"{""step"":""preflight"",""message"":""preflight CORS check""}
"
1685571131153,"END RequestId: e39db679-eaa7-4936-b2e7-02fca026cf42
"
1685571131153,"REPORT RequestId: e39db679-eaa7-4936-b2e7-02fca026cf42	Duration: 21.83 ms	Billed Duration: 22 ms	Memory Size: 128 MB	Max Memory Used: 77 MB	Init Duration: 722.67 ms	
"
1685571132961,"START RequestId: 1d07e8d5-bb43-4b72-a344-df9dc4bd3889 Version: $LATEST
"
1685571132961,"{""version""=>""2.0"", ""routeKey""=>""POST /avatars/key_upload"", ""rawPath""=>""/avatars/key_upload"", ""rawQueryString""=>"""", ""headers""=>{""accept""=>""application/json"", ""accept-encoding""=>""gzip, deflate, br"", ""accept-language""=>""fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7"", ""authorization""=>""Bearer eyJraWQiOiJyVmtPWThJeW9CUVwvSU4ySnJncitieFFqY0tMT3lOaHlYcG1SMktydDNHbz0iLCJhbGciOiJSUzI1NiJ9.eyJzdWIiOiJlZjFkZTUyNS0xYjljLTRlNGItYjE0My1hMDcxZWQ1YTQzYjkiLCJpc3MiOiJodHRwczpcL1wvY29nbml0by1pZHAuY2EtY2VudHJhbC0xLmFtYXpvbmF3cy5jb21cL2NhLWNlbnRyYWwtMV9SVDZ1WjZJa1YiLCJjbGllbnRfaWQiOiI1aWwzMTE2cW0wcmgzcm9wc3BuaXJrdG5scyIsIm9yaWdpbl9qdGkiOiIxMWNjMTVmZC1mYjk1LTQ5ZDEtOWQyYy1hODI3M2YyYTM0ZjAiLCJldmVudF9pZCI6IjBhNzdkMDNiLThjOGUtNDRiNy04YWEyLTU2MGQ1NjUxZTBkMCIsInRva2VuX3VzZSI6ImFjY2VzcyIsInNjb3BlIjoiYXdzLmNvZ25pdG8uc2lnbmluLnVzZXIuYWRtaW4iLCJhdXRoX3RpbWUiOjE2ODU1NzAzNTAsImV4cCI6MTY4NTU3Mzk1MCwiaWF0IjoxNjg1NTcwMzUwLCJqdGkiOiI5NGU4ZThlNS1hMWI4LTRiZDUtYjQyMS0yODc1M2RkMDlmZGIiLCJ1c2VybmFtZSI6ImVmMWRlNTI1LTFiOWMtNGU0Yi1iMTQzLWEwNzFlZDVhNDNiOSJ9.BEWKuRutZc1p3T1a12Xdjc7H7-frmaS1jn0ogxOL5MB7EwlSZKM9tsyBDL9VU0fPwySPvidqJpcCIWofhlSaXoQxJslXh1Pm-jtB22Uhlo1WV6bJTERHYTqOqYUUiWdLj3hbZ-wZpMnuzoP8_w5c90MjSDK5IAYCemHnQYfqwT0uVB2oXDVWV3gcFrkNWGIRqU46apCu0fNwSlSfDOMttHsPzyKd5tDJKKfDWtrbOVvcBpuknivk1VzcMaqTD5Rnym2MOBf3PJfTjr_20vJ5iLP4g3Pvxf4bMh3CNDMQZWtp3WWytWQTv6uNvQ_7oxzbehIAcFX6wOj_YDVT1tpSZg"", ""cache-control""=>""no-cache"", ""content-length""=>""19"", ""content-type""=>""application/json"", ""host""=>""3ni93y5bnb.execute-api.ca-central-1.amazonaws.com"", ""origin""=>""https://3000-yaya2devops-awscloudpro-9ykv0vijsv2.ws-eu98.gitpod.io"", ""pragma""=>""no-cache"", ""referer""=>""https://3000-yaya2devops-awscloudpro-9ykv0vijsv2.ws-eu98.gitpod.io/"", ""sec-ch-ua""=>""\""Google Chrome\"";v=\""113\"", \""Chromium\"";v=\""113\"", \""Not-A.Brand\"";v=\""24\"""", ""sec-ch-ua-mobile""=>""?0"", ""sec-ch-ua-platform""=>""\""Windows\"""", ""sec-fetch-dest""=>""empty"", ""sec-fetch-mode""=>""cors"", ""sec-fetch-site""=>""cross-site"", ""user-agent""=>""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"", ""x-amzn-trace-id""=>""Root=1-6477c63c-5613cd6149e857a7744f5ca5"", ""x-forwarded-for""=>""197.26.172.238"", ""x-forwarded-port""=>""443"", ""x-forwarded-proto""=>""https""}, ""requestContext""=>{""accountId""=>""598485450821"", ""apiId""=>""3ni93y5bnb"", ""authorizer""=>{""lambda""=>{""sub""=>""ef1de525-1b9c-4e4b-b143-a071ed5a43b9""}}, ""domainName""=>""3ni93y5bnb.execute-api.ca-central-1.amazonaws.com"", ""domainPrefix""=>""3ni93y5bnb"", ""http""=>{""method""=>""POST"", ""path""=>""/avatars/key_upload"", ""protocol""=>""HTTP/1.1"", ""sourceIp""=>""197.26.172.238"", ""userAgent""=>""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36""}, ""requestId""=>""FzvpbjlSYosEJPQ="", ""routeKey""=>""POST /avatars/key_upload"", ""stage""=>""$default"", ""time""=>""31/May/2023:22:12:12 +0000"", ""timeEpoch""=>1685571132006}, ""body""=>""{\""extension\"":\""jpg\""}"", ""isBase64Encoded""=>false}
"
1685571132961,"{""step"":""presignedurl"",""access_token"":""eyJraWQiOiJyVmtPWThJeW9CUVwvSU4ySnJncitieFFqY0tMT3lOaHlYcG1SMktydDNHbz0iLCJhbGciOiJSUzI1NiJ9.eyJzdWIiOiJlZjFkZTUyNS0xYjljLTRlNGItYjE0My1hMDcxZWQ1YTQzYjkiLCJpc3MiOiJodHRwczpcL1wvY29nbml0by1pZHAuY2EtY2VudHJhbC0xLmFtYXpvbmF3cy5jb21cL2NhLWNlbnRyYWwtMV9SVDZ1WjZJa1YiLCJjbGllbnRfaWQiOiI1aWwzMTE2cW0wcmgzcm9wc3BuaXJrdG5scyIsIm9yaWdpbl9qdGkiOiIxMWNjMTVmZC1mYjk1LTQ5ZDEtOWQyYy1hODI3M2YyYTM0ZjAiLCJldmVudF9pZCI6IjBhNzdkMDNiLThjOGUtNDRiNy04YWEyLTU2MGQ1NjUxZTBkMCIsInRva2VuX3VzZSI6ImFjY2VzcyIsInNjb3BlIjoiYXdzLmNvZ25pdG8uc2lnbmluLnVzZXIuYWRtaW4iLCJhdXRoX3RpbWUiOjE2ODU1NzAzNTAsImV4cCI6MTY4NTU3Mzk1MCwiaWF0IjoxNjg1NTcwMzUwLCJqdGkiOiI5NGU4ZThlNS1hMWI4LTRiZDUtYjQyMS0yODc1M2RkMDlmZGIiLCJ1c2VybmFtZSI6ImVmMWRlNTI1LTFiOWMtNGU0Yi1iMTQzLWEwNzFlZDVhNDNiOSJ9.BEWKuRutZc1p3T1a12Xdjc7H7-frmaS1jn0ogxOL5MB7EwlSZKM9tsyBDL9VU0fPwySPvidqJpcCIWofhlSaXoQxJslXh1Pm-jtB22Uhlo1WV6bJTERHYTqOqYUUiWdLj3hbZ-wZpMnuzoP8_w5c90MjSDK5IAYCemHnQYfqwT0uVB2oXDVWV3gcFrkNWGIRqU46apCu0fNwSlSfDOMttHsPzyKd5tDJKKfDWtrbOVvcBpuknivk1VzcMaqTD5Rnym2MOBf3PJfTjr_20vJ5iLP4g3Pvxf4bMh3CNDMQZWtp3WWytWQTv6uNvQ_7oxzbehIAcFX6wOj_YDVT1tpSZg""}
"
1685571133413,"{""object_key"":""ef1de525-1b9c-4e4b-b143-a071ed5a43b9.jpg""}
"
